corp_code,stock_code,corp_name,market,sector,fiscal_year,n_annual_report_filings,has_annual_report_in_dart_universe
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2020,,False
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2021,,False
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2022,,False
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2023,1.0,True
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2024,1.0,True
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2018,,False
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2019,,False
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2020,,False
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2021,,False
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2022,,False
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2023,1.0,True
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2024,1.0,True
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2018,,False
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2019,,False
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2020,1.0,True
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2021,1.0,True
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2022,1.0,True
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2023,3.0,True
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2024,1.0,True
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2018,,False
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2019,,False
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2020,,False
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2021,,False
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2022,1.0,True
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2023,1.0,True
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2024,1.0,True
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2018,1.0,True
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2019,1.0,True
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2020,1.0,True
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2021,1.0,True
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2022,1.0,True
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2023,1.0,True
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2024,2.0,True
01026157,403550,쏘카,KOSPI,운송장비 임대업,2018,,False
01026157,403550,쏘카,KOSPI,운송장비 임대업,2019,,False
01026157,403550,쏘카,KOSPI,운송장비 임대업,2020,,False
01026157,403550,쏘카,KOSPI,운송장비 임대업,2021,,False
01026157,403550,쏘카,KOSPI,운송장비 임대업,2022,1.0,True
01026157,403550,쏘카,KOSPI,운송장비 임대업,2023,1.0,True
01026157,403550,쏘카,KOSPI,운송장비 임대업,2024,1.0,True
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2018,,False
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2019,,False
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2020,,False
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2021,,False
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2022,1.0,True
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2023,1.0,True
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2024,3.0,True
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2018,,False
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2019,,False
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2020,1.0,True
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2021,1.0,True
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2022,1.0,True
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2023,1.0,True
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2024,1.0,True
01323032,381970,케이카,KOSPI,자동차 판매업,2018,,False
01323032,381970,케이카,KOSPI,자동차 판매업,2019,,False
01323032,381970,케이카,KOSPI,자동차 판매업,2020,,False
01323032,381970,케이카,KOSPI,자동차 판매업,2021,1.0,True
01323032,381970,케이카,KOSPI,자동차 판매업,2022,2.0,True
