corp_code,stock_code,corp_name,market,sector,fiscal_year
01323032,381970,케이카,KOSPI,자동차 판매업,2022
01323032,381970,케이카,KOSPI,자동차 판매업,2023
01323032,381970,케이카,KOSPI,자동차 판매업,2024
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2018
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2019
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2020
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2021
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2022
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2023
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2024
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2018
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2019
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2020
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2021
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2022
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2023
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2024
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2018
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2019
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2020
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2021
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2022
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2023
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2024
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2018
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2019
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2020
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2021
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2022
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2023
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2024
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2018
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2019
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2020
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2021
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2022
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2023
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2024
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2018
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2019
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2020
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2021
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2022
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2023
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2024
00767460,178920,PI첨단소재,KOSPI,플라스틱제품 제조업,2018
00767460,178920,PI첨단소재,KOSPI,플라스틱제품 제조업,2019
00767460,178920,PI첨단소재,KOSPI,플라스틱제품 제조업,2020
00767460,178920,PI첨단소재,KOSPI,플라스틱제품 제조업,2021
00767460,178920,PI첨단소재,KOSPI,플라스틱제품 제조업,2022
00767460,178920,PI첨단소재,KOSPI,플라스틱제품 제조업,2023
00767460,178920,PI첨단소재,KOSPI,플라스틱제품 제조업,2024
00854997,137310,에스디바이오센서,KOSPI,의료용 기기 제조업,2018
00854997,137310,에스디바이오센서,KOSPI,의료용 기기 제조업,2019
00854997,137310,에스디바이오센서,KOSPI,의료용 기기 제조업,2020
00854997,137310,에스디바이오센서,KOSPI,의료용 기기 제조업,2021
00854997,137310,에스디바이오센서,KOSPI,의료용 기기 제조업,2022
00854997,137310,에스디바이오센서,KOSPI,의료용 기기 제조업,2023
00854997,137310,에스디바이오센서,KOSPI,의료용 기기 제조업,2024
00564562,097520,엠씨넥스,KOSPI,영상 및 음향기기 제조업,2018
00564562,097520,엠씨넥스,KOSPI,영상 및 음향기기 제조업,2019
00564562,097520,엠씨넥스,KOSPI,영상 및 음향기기 제조업,2020
00564562,097520,엠씨넥스,KOSPI,영상 및 음향기기 제조업,2021
00564562,097520,엠씨넥스,KOSPI,영상 및 음향기기 제조업,2022
00564562,097520,엠씨넥스,KOSPI,영상 및 음향기기 제조업,2023
00564562,097520,엠씨넥스,KOSPI,영상 및 음향기기 제조업,2024
01568413,383220,F&F,KOSPI,봉제의복 제조업,2018
01568413,383220,F&F,KOSPI,봉제의복 제조업,2019
01568413,383220,F&F,KOSPI,봉제의복 제조업,2020
