corp_code,stock_code,corp_name,market,sector,fiscal_year,CorrectionCount,FirstCorrectionDate,LastCorrectionDate,CorrectionDummy,LogCorrectionCount,MaterialCorrectionCount,MaterialKeywordHits,MaterialCorrectionDummy
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2019,0,,,0,0.0,0,0,0
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2020,0,,,0,0.0,0,0,0
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2021,0,,,0,0.0,0,0,0
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2022,0,,,0,0.0,0,0,0
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2023,1,20240315,20240315,1,0.6931471805599453,1,29,1
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2024,0,,,0,0.0,0,0,0
00447609,090460,비에이치,KOSPI,전자부품 제조업,2018,1,20190620,20190620,1,0.6931471805599453,0,0,0
00447609,090460,비에이치,KOSPI,전자부품 제조업,2019,0,,,0,0.0,0,0,0
00447609,090460,비에이치,KOSPI,전자부품 제조업,2020,2,20210322,20210331,1,1.0986122886681098,0,0,0
00447609,090460,비에이치,KOSPI,전자부품 제조업,2021,0,,,0,0.0,0,0,0
00447609,090460,비에이치,KOSPI,전자부품 제조업,2022,0,,,0,0.0,0,0,0
00447609,090460,비에이치,KOSPI,전자부품 제조업,2023,0,,,0,0.0,0,0,0
00447609,090460,비에이치,KOSPI,전자부품 제조업,2024,1,20250326,20250326,1,0.6931471805599453,1,29,1
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2018,0,,,0,0.0,0,0,0
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2019,0,,,0,0.0,0,0,0
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2020,0,,,0,0.0,0,0,0
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2021,0,,,0,0.0,0,0,0
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2022,0,,,0,0.0,0,0,0
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2023,0,,,0,0.0,0,0,0
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2024,0,,,0,0.0,0,0,0
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2018,0,,,0,0.0,0,0,0
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2019,0,,,0,0.0,0,0,0
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2020,0,,,0,0.0,0,0,0
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2021,0,,,0,0.0,0,0,0
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2022,0,,,0,0.0,0,0,0
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2023,0,,,0,0.0,0,0,0
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2024,1,20250317,20250317,1,0.6931471805599453,1,29,1
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2018,0,,,0,0.0,0,0,0
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2019,0,,,0,0.0,0,0,0
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2020,0,,,0,0.0,0,0,0
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2021,0,,,0,0.0,0,0,0
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2022,0,,,0,0.0,0,0,0
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2023,1,20240411,20240411,1,0.6931471805599453,1,29,1
