model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M2_governance,C(fiscal_year)[T.2022],-0.8890621710582024,0.06688806785435555,-13.291790293510612,2.583225775562782e-40,3193.0,***,-0.8891***,(0.0669)
M2_governance,C(fiscal_year)[T.2023],-0.8377661195411037,0.06702173711189931,-12.499916529205617,7.472970922042686e-36,3193.0,***,-0.8378***,(0.0670)
M2_governance,C(fiscal_year)[T.2024],-0.7606644575122066,0.0677326548676678,-11.230394836853057,2.891833759682445e-29,3193.0,***,-0.7607***,(0.0677)
M2_governance,C(sector)[T.1차 철강 제조업],-0.0017816279128371297,0.07192309695673964,-0.024771290283964617,0.9802373910634745,3193.0,,-0.0018,(0.0719)
M2_governance,C(sector)[T.가구 제조업],0.04895740800510115,0.07827037906920234,0.6254908764631856,0.5316489345350686,3193.0,,0.0490,(0.0783)
M2_governance,C(sector)[T.가전제품 및 정보통신장비 소매업],-0.10195758633273108,0.06864856581969689,-1.4852107267691388,0.13748801137330408,3193.0,,-0.1020,(0.0686)
M2_governance,C(sector)[T.가정용 기기 제조업],0.21603312634915442,0.06373582776545383,3.389508443259741,0.0007001805261892447,3193.0,***,0.2160***,(0.0637)
M2_governance,"C(sector)[T.가죽, 가방 및 유사제품 제조업]",0.07526387318334743,0.10696159822017552,0.7036532216770005,0.48164875849486877,3193.0,,0.0753,(0.1070)
M2_governance,C(sector)[T.개인 및 가정용품 임대업],0.6243501825104557,0.06889403974946628,9.062470204692744,1.2752913212506402e-19,3193.0,***,0.6244***,(0.0689)
M2_governance,C(sector)[T.건물 건설업],0.09101156701705615,0.07511722510917919,1.2115938372959774,0.22566789476386795,3193.0,,0.0910,(0.0751)
M2_governance,C(sector)[T.건물설비 설치 공사업],0.1771322458639097,0.06906657390575296,2.564659513958536,0.01032770954585091,3193.0,**,0.1771**,(0.0691)
M2_governance,"C(sector)[T.건축기술, 엔지니어링 및 관련 기술 서비스업]",0.17601728527894678,0.10559579681907834,1.66689670025905,0.09553494715084872,3193.0,*,0.1760*,(0.1056)
M2_governance,"C(sector)[T.건축자재, 철물 및 난방장치 도매업]",-0.1516356135783975,0.06538614499020921,-2.3190786611001935,0.020390771568559386,3193.0,**,-0.1516**,(0.0654)
M2_governance,"C(sector)[T.경비, 경호 및 탐정업]",-0.2850335463722158,0.06889900890109554,-4.136976001808403,3.5191289827902044e-05,3193.0,***,-0.2850***,(0.0689)
M2_governance,C(sector)[T.고무제품 제조업],-0.025706049605458595,0.14083355702583236,-0.1825278729610122,0.8551684822972565,3193.0,,-0.0257,(0.1408)
M2_governance,"C(sector)[T.곡물가공품, 전분 및 전분제품 제조업]",-0.022643915566658117,0.07761957427556412,-0.291729448119207,0.7704934917847761,3193.0,,-0.0226,(0.0776)
