corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year
01194689,HD현대마린솔루션,443060,Y,반기보고서 (2025.06),20250814000330,HD현대마린솔루션,20250814,,2024,2025
01194689,HD현대마린솔루션,443060,Y,[첨부추가]분기보고서 (2025.03),20250515000692,HD현대마린솔루션,20250515,,2024,2025
01194689,HD현대마린솔루션,443060,Y,[기재정정]사업보고서 (2024.12),20250509000499,HD현대마린솔루션,20250509,연,2024,2025
01194689,HD현대마린솔루션,443060,Y,[기재정정]사업보고서 (2024.12),20250509000357,HD현대마린솔루션,20250509,정연,2024,2025
01194689,HD현대마린솔루션,443060,Y,사업보고서 (2024.12),20250317000579,HD현대마린솔루션,20250317,정연,2024,2025
01817081,SK이터닉스,475150,Y,분기보고서 (2024.09),20241114001767,SK이터닉스,20241114,,2023,2024
01817081,SK이터닉스,475150,Y,반기보고서 (2024.06),20240814002548,SK이터닉스,20240814,,2023,2024
01817081,SK이터닉스,475150,Y,분기보고서 (2024.03),20240516001290,SK이터닉스,20240516,,2023,2024
01817081,SK이터닉스,475150,Y,분기보고서 (2025.09),20251113000788,SK이터닉스,20251113,,2024,2025
01817081,SK이터닉스,475150,Y,반기보고서 (2025.06),20250813000516,SK이터닉스,20250813,,2024,2025
01817081,SK이터닉스,475150,Y,분기보고서 (2025.03),20250515001752,SK이터닉스,20250515,,2024,2025
01817081,SK이터닉스,475150,Y,사업보고서 (2024.12),20250317000875,SK이터닉스,20250317,연,2024,2025
01190568,에이피알,278470,Y,분기보고서 (2019.09),20191114002234,에이피알,20191114,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2019.06),20191114002173,에이피알,20191114,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2019.03),20191114002151,에이피알,20191114,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20191114002071,에이피알,20191114,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.09),20191114002021,에이피알,20191114,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2018.06),20191114001967,에이피알,20191114,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.03),20191114001837,에이피알,20191114,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20191114001781,에이피알,20191114,정,2018,2019
01190568,에이피알,278470,Y,반기보고서 (2019.06),20190814002791,에이피알,20190814,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2019.03),20190528000213,에이피알,20190528,정,2018,2019
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20190528000207,에이피알,20190528,정,2018,2019
01190568,에이피알,278470,Y,분기보고서 (2019.03),20190515000601,에이피알,20190515,정,2018,2019
01190568,에이피알,278470,Y,사업보고서 (2018.12),20190401003737,에이피알,20190401,정,2018,2019
01190568,에이피알,278470,Y,분기보고서 (2020.09),20201116000737,에이피알,20201116,,2019,2020
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2020.06),20200924000303,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2020.03),20200924000299,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200924000296,에이피알,20200924,연,2019,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2019.09),20200924000294,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2019.06),20200924000290,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2019.03),20200924000289,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200924000286,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.09),20200924000284,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2018.06),20200924000282,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.03),20200924000279,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20200924000275,에이피알,20200924,,2019,2020
01190568,에이피알,278470,Y,반기보고서 (2020.06),20200814001744,에이피알,20200814,정,2019,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200814001681,에이피알,20200814,정연,2019,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200814001663,에이피알,20200814,정,2019,2020
01190568,에이피알,278470,Y,분기보고서 (2020.03),20200515001006,에이피알,20200515,정,2019,2020
01190568,에이피알,278470,Y,사업보고서 (2019.12),20200513000126,에이피알,20200513,정연,2019,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2021.09),20211117000105,에이피알,20211117,,2020,2021
01190568,에이피알,278470,Y,분기보고서 (2021.09),20211112000347,에이피알,20211112,정,2020,2021
01190568,에이피알,278470,Y,반기보고서 (2021.06),20210817000445,에이피알,20210817,,2020,2021
