corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year,is_correction
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2018.12),20200630000654,IPARK현대산업개발,20200630,연,2019,2020,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2022.12),20230713000082,IPARK현대산업개발,20230713,연,2022,2023,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2023.12),20240401002733,IPARK현대산업개발,20240401,연,2023,2024,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2024.12),20250812000514,IPARK현대산업개발,20250812,연,2024,2025,1
00139454,애경산업,018250,Y,[기재정정]사업보고서 (2018.12),20190702000212,애경산업,20190702,연,2018,2019,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2019.12),20200410002837,셀트리온,20200410,정연,2019,2020,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2021.12),20220512000853,셀트리온,20220512,연,2021,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2020.12),20220512000852,셀트리온,20220512,연,2021,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2019.12),20220512000850,셀트리온,20220512,연,2021,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2018.12),20220512000849,셀트리온,20220512,연,2021,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2017.12),20220512000845,셀트리온,20220512,연,2021,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2016.12),20220512000841,셀트리온,20220512,연,2021,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2021.12),20220317000991,셀트리온,20220317,정연,2021,2022,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2020.12),20210326000876,쿠쿠홈시스,20210326,,2020,2021,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2021.12),20220330001375,쿠쿠홈시스,20220330,연,2021,2022,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2022.12),20230403003576,쿠쿠홈시스,20230403,연,2022,2023,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2022.12),20230330001229,쿠쿠홈시스,20230330,정연,2022,2023,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2024.12),20250331004301,쿠쿠홈시스,20250331,연,2024,2025,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2018.12),20190404002228,SK케미칼,20190404,연,2018,2019,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2018.12),20190404001642,SK케미칼,20190404,정연,2018,2019,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2020.12),20210428000711,SK케미칼,20210428,연,2020,2021,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2022.12),20230320000964,SK케미칼,20230320,연,2022,2023,1
01263022,BGF리테일,282330,Y,[기재정정]사업보고서 (2023.12),20240412003349,BGF리테일,20240412,연,2023,2024,1
00256955,테이팩스,055490,Y,[기재정정]사업보고서 (2021.12),20220816000332,테이팩스,20220816,연,2021,2022,1
00256955,테이팩스,055490,Y,[기재정정]사업보고서 (2023.12),20240322000460,테이팩스,20240322,연,2023,2024,1
01258507,롯데웰푸드,280360,Y,[기재정정]사업보고서 (2023.12),20240322000503,롯데웰푸드,20240322,연,2023,2024,1
01258507,롯데웰푸드,280360,Y,[기재정정]사업보고서 (2023.12),20240318000765,롯데웰푸드,20240318,정연,2023,2024,1
01258507,롯데웰푸드,280360,Y,[기재정정]사업보고서 (2024.12),20250617000244,롯데웰푸드,20250617,연,2024,2025,1
01258507,롯데웰푸드,280360,Y,[기재정정]사업보고서 (2024.12),20250402003166,롯데웰푸드,20250402,정연,2024,2025,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2023.12),20240418000375,카카오,20240418,연,2023,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2023.12),20240328001805,카카오,20240328,정연,2023,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2023.12),20240321000907,카카오,20240321,정연,2023,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2022.12),20240320000393,카카오,20240320,연,2023,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2021.12),20240320000386,카카오,20240320,연,2023,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2020.12),20240320000376,카카오,20240320,연,2023,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2024.12),20250324000901,카카오,20250324,연,2024,2025,1
01238169,오리온,271560,Y,[기재정정]사업보고서 (2018.12),20190612000150,오리온,20190612,연,2018,2019,1
01238169,오리온,271560,Y,[기재정정]사업보고서 (2021.12),20220323000300,오리온,20220323,연,2021,2022,1
01238169,오리온,271560,Y,[기재정정]사업보고서 (2024.12),20250808000624,오리온,20250808,연,2024,2025,1
01234297,미원에스씨,268280,Y,[기재정정]사업보고서 (2021.12),20220816000420,미원에스씨,20220816,연,2021,2022,1
00904672,넷마블,251270,Y,[기재정정]사업보고서 (2018.12),20190521000353,넷마블,20190521,연,2018,2019,1
00904672,넷마블,251270,Y,[첨부정정]사업보고서 (2018.12),20190515002612,넷마블,20190515,정연,2018,2019,1
00904672,넷마블,251270,Y,[기재정정]사업보고서 (2019.12),20200330004828,넷마블,20200330,연,2019,2020,1
01205842,HD건설기계,267270,Y,[기재정정]사업보고서 (2021.12),20220816000025,HD건설기계,20220816,연,2021,2022,1
01205842,HD건설기계,267270,Y,[기재정정]사업보고서 (2021.12),20220315000963,HD건설기계,20220315,정연,2021,2022,1
01205842,HD건설기계,267270,Y,[기재정정]사업보고서 (2024.12),20250327000348,HD건설기계,20250327,연,2024,2025,1
01205851,HD현대일렉트릭,267260,Y,[기재정정]사업보고서 (2024.12),20250320001309,HD현대일렉트릭,20250320,연,2024,2025,1
01205329,크라운제과,264900,Y,[기재정정]사업보고서 (2021.12),20220323000021,크라운제과,20220323,,2021,2022,1
01205329,크라운제과,264900,Y,[기재정정]사업보고서 (2021.12),20220322000905,크라운제과,20220322,정,2021,2022,1
01205329,크라운제과,264900,Y,[기재정정]사업보고서 (2022.12),20230331000007,크라운제과,20230331,,2022,2023,1
00526599,덴티움,145720,Y,[기재정정]사업보고서 (2022.12),20230322001007,덴티움,20230322,,2022,2023,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2020.12),20210331002763,호전실업,20210331,연,2020,2021,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2021.12),20220331002749,호전실업,20220331,연,2021,2022,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2022.12),20230331003532,호전실업,20230331,연,2022,2023,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2023.12),20240329002993,호전실업,20240329,연,2023,2024,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2024.12),20250331002554,호전실업,20250331,연,2024,2025,1
00119140,핸즈코퍼레이션,143210,Y,[기재정정]사업보고서 (2023.12),20240513000862,핸즈코퍼레이션,20240513,연,2023,2024,1
01032486,두산밥캣,241560,Y,[기재정정]사업보고서 (2021.12),20220812000942,두산밥캣,20220812,연,2021,2022,1
01032486,두산밥캣,241560,Y,[기재정정]사업보고서 (2023.12),20240329003259,두산밥캣,20240329,연,2023,2024,1
