fiscal_year,corp_code,corp_name,stock_code,market,sector,n_annual_report_filings,n_annual_corrections,any_correction
2018,00109514,티웨이홀딩스,004870,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",1,0,0
2018,00109693,DL,000210,KOSPI,기초 화학물질 제조업,1,0,0
2018,00109718,사조대림,003960,KOSPI,수산물 가공 및 저장 처리업,2,1,1
2018,00109754,대림바스,005750,KOSPI,"내화, 비내화 요업제품 제조업",1,0,0
2018,00109806,삼일씨엔에스,004440,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",1,0,0
2018,00109824,대림통상,006570,KOSPI,기타 금속 가공제품 제조업,2,1,1
2018,00110608,DSR,155660,KOSPI,1차 비철금속 제조업,1,0,0
2018,00110893,대신증권,003540,KOSPI,금융 지원 서비스업,1,0,0
2018,00111111,대양금속,009190,KOSPI,1차 철강 제조업,1,0,0
2018,00111421,휴니드테크놀러지스,005870,KOSPI,통신 및 방송 장비 제조업,3,2,1
2018,00111458,대영포장,014160,KOSPI,"골판지, 종이 상자 및 종이용기 제조업",1,0,0
2018,00111689,아진전자부품,009320,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00111704,한화오션,042660,KOSPI,선박 및 보트 건조업,1,0,0
2018,00111722,미래에셋증권,006800,KOSPI,금융 지원 서비스업,1,0,0
2018,00111810,대웅,003090,KOSPI,의약품 제조업,1,0,0
2018,00111847,대원강업,000430,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00111999,대원제약,003220,KOSPI,의약품 제조업,1,0,0
2018,00112022,대원화성,024890,KOSPI,플라스틱제품 제조업,1,0,0
2018,00112059,상상인증권,001290,KOSPI,금융 지원 서비스업,3,2,1
2018,00112165,디아이씨,092200,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00112332,미래에셋생명,085620,KOSPI,보험업,2,1,1
2018,00112378,KR모터스,000040,KOSPI,그외 기타 운송장비 제조업,1,0,0
2018,00112651,대창,012800,KOSPI,1차 비철금속 제조업,2,1,1
2018,00112679,대창단조,015230,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00112970,대한방직,001070,KOSPI,직물직조 및 직물제품 제조업,2,1,1
2018,00113058,한화생명,088350,KOSPI,보험업,1,0,0
2018,00113191,코리안리,003690,KOSPI,재 보험업,1,0,0
2018,00113207,대한전선,001440,KOSPI,절연선 및 케이블 제조업,1,0,0
2018,00113225,대한제강,084010,KOSPI,1차 철강 제조업,1,0,0
2018,00113234,대한제당,001790,KOSPI,"곡물가공품, 전분 및 전분제품 제조업",2,1,1
2018,00113243,대한제분,001130,KOSPI,"곡물가공품, 전분 및 전분제품 제조업",2,1,1
2018,00113359,교보증권,030610,KOSPI,금융 지원 서비스업,3,2,1
2018,00113410,CJ대한통운,000120,KOSPI,도로 화물 운송업,2,1,1
2018,00113492,깨끗한나라,004540,KOSPI,"펄프, 종이 및 판지 제조업",1,0,0
2018,00113508,노루홀딩스,000320,KOSPI,기타 금융업,2,1,1
2018,00113526,대한항공,003490,KOSPI,항공 여객 운송업,2,1,1
2018,00113535,대한해운,005880,KOSPI,해상 운송업,1,0,0
2018,00113544,대한화섬,003830,KOSPI,화학섬유 제조업,6,5,1
2018,00113562,롯데손해보험,000400,KOSPI,보험업,1,0,0
2018,00113614,대현,016090,KOSPI,봉제의복 제조업,1,0,0
2018,00113997,롯데에너지머티리얼즈,020150,KOSPI,전자부품 제조업,1,0,0
2018,00114093,덕성,004830,KOSPI,플라스틱제품 제조업,1,0,0
2018,00114154,디와이덕양,024900,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00114552,도화엔지니어링,002150,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",1,0,0
2018,00114765,케이비아이동국실업,001620,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00114792,동국홀딩스,001230,KOSPI,기타 금융업,2,1,1
2018,00115065,동남합성,023450,KOSPI,기초 화학물질 제조업,1,0,0
2018,00115287,동방,004140,KOSPI,기타 운송관련 서비스업,1,0,0
2018,00115384,동방아그로,007590,KOSPI,"비료, 농약 및 살균, 살충제 제조업",1,0,0
2018,00115612,동부건설,005960,KOSPI,토목 건설업,1,0,0
2018,00115676,KG스틸,016380,KOSPI,1차 철강 제조업,1,0,0
2018,00115694,DB증권,016610,KOSPI,금융 지원 서비스업,1,0,0
2018,00115977,아이에스동서,010780,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",1,0,0
2018,00116268,동성제약,002210,KOSPI,의약품 제조업,2,1,1
2018,00116301,NI스틸,008260,KOSPI,1차 철강 제조업,2,1,1
2018,00116824,동아쏘시오홀딩스,000640,KOSPI,기타 금융업,1,0,0
2018,00116949,DN오토모티브,007340,KOSPI,일차전지 및 이차전지 제조업,2,1,1
2018,00117027,알루코,001780,KOSPI,1차 비철금속 제조업,1,0,0
2018,00117179,디와이,013570,KOSPI,기타 금융업,1,0,0
2018,00117188,효성,004800,KOSPI,기타 금융업,1,0,0
2018,00117212,두산,000150,KOSPI,전자부품 제조업,1,0,0
2018,00117230,TYM,002900,KOSPI,특수 목적용 기계 제조업,4,2,1
2018,00117267,동양생명,082640,KOSPI,보험업,1,0,0
2018,00117300,TCC스틸,002710,KOSPI,1차 철강 제조업,2,1,1
2018,00117337,동양,001520,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",2,1,1
2018,00117498,스틱인베스트먼트,026890,KOSPI,신탁업 및 집합투자업,1,0,0
2018,00117577,오리온홀딩스,001800,KOSPI,기타 금융업,1,0,0
2018,00117601,유안타증권,003470,KOSPI,금융 지원 서비스업,1,0,0
2018,00117629,KBI동양철관,008970,KOSPI,1차 철강 제조업,1,0,0
2018,00117726,DYP,092780,KOSPI,자동차용 엔진 및 자동차 제조업,1,0,0
2018,00118008,동원금속,018500,KOSPI,자동차 신품 부품 제조업,2,0,0
2018,00118026,동원산업,006040,KOSPI,기타 금융업,1,0,0
2018,00118044,동원수산,030720,KOSPI,어로 어업,1,0,0
2018,00118266,DRB동일,004840,KOSPI,고무제품 제조업,1,0,0
2018,00118275,디아이,003160,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1,0,0
2018,00118345,디아이동일,001530,KOSPI,상품 중개업,1,0,0
2018,00118451,동일제강,002690,KOSPI,1차 철강 제조업,1,0,0
2018,00118521,진원생명과학,011000,KOSPI,의약품 제조업,1,0,0
2018,00118965,티에이치엔,019180,KOSPI,기타 전기장비 제조업,1,0,0
2018,00119007,무림P&P,009580,KOSPI,"펄프, 종이 및 판지 제조업",1,0,0
2018,00119140,핸즈코퍼레이션,143210,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00119195,동화약품,000020,KOSPI,의약품 제조업,1,0,0
