estimator,theta,se,ci_low,ci_high,J_hat,score_sd,top1_share,top05_share,ess,tau,q,bias_proxy,notes,true_theta,bias,rmse_component,covered,tail,contamination,weak_overlap,nonlinear,rep
score_clipped_dml_q0.995,0.602026139237244,0.06715703142612496,0.4704007763334145,0.7336515021410736,-0.18747037906104322,0.4876068270626041,0.051035111650300974,0.02440512108779917,766.4502983399999,1.8221978069061526,0.995,0.0023931601733924966,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.10202613923724402,0.010409333087657503,1,normal,0.0,True,True,9
score_clipped_dml_q0.999,0.5955869340880745,0.06772621156154374,0.4628459986181086,0.7283278695580404,-0.18963044377930063,0.49740537484427916,0.05708125698474106,0.030576353736389436,745.9996903053764,2.558568840883883,0.999,0.00016626830548014155,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.0955869340880745,0.0091368619683579,1,normal,0.0,True,True,9
standard_dml,0.6696266584853886,0.06939659220157256,0.5336118371204932,0.805641479850284,-0.18902949792269283,0.5080580708249677,0.06005914792045828,0.031539365738562995,708.4927532819095,,,,Standard orthogonal-score DML.,0.5,0.1696266584853886,0.02877320326891866,0,normal,0.0,True,True,10
outcome_winsorized_dml,0.6660414245985307,0.06866226643814326,0.5314658552828766,0.8006169939141847,-0.18902949792269283,0.5026820124496328,0.05856008671658913,0.031123752662767373,715.1970512908875,,,,Standard orthogonal-score DML.,0.5,0.16604142459853066,0.027569754682709544,0,normal,0.0,True,True,10
covariate_winsorized_dml,0.6573180756039132,0.06921416117599896,0.5216608124788047,0.7929753387290217,-0.18838127113429587,0.5049848074713527,0.060386247413081746,0.031718167695615175,707.6060869006617,,,,Standard orthogonal-score DML.,0.5,0.1573180756039132,0.02474897691171855,0,normal,0.0,True,True,10
score_clipped_dml_q0.95,0.6794997606708983,0.07108823161217802,0.5401693869863877,0.818830134355409,-0.16206400983035013,0.44620036430442844,0.03325228444554918,0.015517732741256283,816.1047521695662,1.0940418069750477,0.95,0.02005463483333183,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.17949976067089835,0.03222016408090978,0,normal,0.0,True,True,10
score_clipped_dml_q0.97,0.6722335849878306,0.06997314559673871,0.5350887397332452,0.809378430242416,-0.17155316172961693,0.46491735014981145,0.03812766718310346,0.017792911352114943,784.9739096046343,1.2818970743684184,0.97,0.012851758133144158,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.1722335849878306,0.029664407797760264,0,normal,0.0,True,True,10
score_clipped_dml_q0.99,0.6683242153634359,0.06955638834590204,0.5319961993107863,0.8046522314160854,-0.1830692532547573,0.4931716044964983,0.0502069369833096,0.02342990392554448,736.364908893226,1.7342747034981982,0.99,0.003621042203663086,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.1683242153634359,0.02833304147771635,0,normal,0.0,True,True,10
score_clipped_dml_q0.995,0.6671092420011934,0.06955857659168493,0.53077693706562,0.8034415469367667,-0.18580874339869285,0.5005672844588525,0.055614895535888956,0.027041021961955302,722.9543599183995,2.013000023316758,0.995,0.001642384145052363,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.16710924200119337,0.02792549876221341,0,normal,0.0,True,True,10
score_clipped_dml_q0.999,0.6674242616327635,0.06951194798920472,0.5311833470787009,0.8036651761868261,-0.18789891065150496,0.5058588484724204,0.058932766216636845,0.03038340624763381,712.9145152689656,2.4370496819218697,0.999,0.00041382796943063453,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.16742426163276347,0.028030883383276035,0,normal,0.0,True,True,10
standard_dml,0.6244503625409364,0.07166163455894818,0.48399613973212713,0.7649045853497458,-0.1801263854658583,0.49993054665412234,0.06934246065739788,0.0407657826848402,672.0317586868772,,,,Standard orthogonal-score DML.,0.5,0.12445036254093644,0.015487892736570516,1,normal,0.0,True,True,11
