rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,adt_opinion,adt_reprt_spcmnt_matter,stlm_dt,query_year,endpoint_label,emphs_matter,core_adt_matter
20250509000499,Y,01194689,HD현대마린솔루션,"제7기
(전전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250317000875,Y,01817081,SK이터닉스,"제1기
(당기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,인적분할,상품매출의 발생 사실에 대한 검토
20250317000875,Y,01817081,SK이터닉스,"제1기
(당기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,인적분할,상품매출의 발생 사실에 대한 검토
20250317000875,Y,01817081,SK이터닉스,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000875,Y,01817081,SK이터닉스,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000875,Y,01817081,SK이터닉스,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000875,Y,01817081,SK이터닉스,-,-,,-,2024-12-31,2024,auditor_opinion,,
20200924000286,Y,01190568,에이피알,"제 5 기(당기)
제 5 기(당반기)","삼일회계법인
한영회계법인","적정
검토","해당사항 없음(주1)
해당사항 없음",2018-12-31,2018,auditor_opinion,,
20200924000286,Y,01190568,에이피알,제 4 기(전기),한영회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20200924000286,Y,01190568,에이피알,제 3 기(전전기),한영회계법인,한정,(주2),2018-12-31,2018,auditor_opinion,,
20200924000296,Y,01190568,에이피알,제6기(당기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,해당사항 없음,해당사항 없음
20200924000296,Y,01190568,에이피알,제5기(전기),"삼일회계법인
한영회계법인","적정
검토",-,2019-12-31,2019,auditor_opinion,해당사항 없음,해당사항 없음
20200924000296,Y,01190568,에이피알,제4기(전전기),한영회계법인,적정,-,2019-12-31,2019,auditor_opinion,해당사항 없음,해당사항 없음
20210331000895,Y,01190568,에이피알,제7기(당기),현대회계법인,적정,-,2020-12-31,2020,auditor_opinion,해당사항 없음,해당사항 없음
20210331000895,Y,01190568,에이피알,제6기(전기),삼일회계법인,적정,-,2020-12-31,2020,auditor_opinion,해당사항 없음,해당사항 없음
20210331000895,Y,01190568,에이피알,제5기(전전기),"삼일회계법인
한영회계법인","적정
검토",-,2020-12-31,2020,auditor_opinion,해당사항 없음,해당사항 없음
20220331002148,Y,01190568,에이피알,제8기(당기),현대회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,해당사항 없음
20220331002148,Y,01190568,에이피알,제7기(전기),현대회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,해당사항 없음
20220331002148,Y,01190568,에이피알,제6기(전전기),삼일회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,해당사항 없음
