corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,CorrectionDummy_filing
00545716,롯데렌탈,089860,Y,사업보고서 (2021.12),20220315001149,롯데렌탈,20220315,정연,2022,2022,0
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2022.12),20230424000485,롯데렌탈,20230424,연,2023,2023,1
00545716,롯데렌탈,089860,Y,사업보고서 (2022.12),20230315001355,롯데렌탈,20230315,정연,2023,2023,0
00545716,롯데렌탈,089860,Y,사업보고서 (2023.12),20240315000897,롯데렌탈,20240315,연,2024,2024,0
00534598,한컴라이프케어,372910,Y,사업보고서 (2021.12),20220310000833,한컴라이프케어,20220310,정연,2022,2022,0
00534598,한컴라이프케어,372910,Y,사업보고서 (2022.12),20230315000557,한컴라이프케어,20230315,연,2023,2023,0
00534598,한컴라이프케어,372910,Y,사업보고서 (2023.12),20240313000991,한컴라이프케어,20240313,연,2024,2024,0
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20180816000192,크래프톤,20180816,정,2018,2018,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20180622000525,크래프톤,20180622,정,2018,2018,1
00760971,크래프톤,259960,Y,사업보고서 (2017.12),20180402005262,크래프톤,20180402,정,2018,2018,0
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20191107000375,크래프톤,20191107,정연,2019,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20190515002199,크래프톤,20190515,정연,2019,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20190515001971,크래프톤,20190515,정,2019,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20190515001773,크래프톤,20190515,정연,2019,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20190401005084,크래프톤,20190401,정연,2019,2019,1
00760971,크래프톤,259960,Y,사업보고서 (2018.12),20190401004888,크래프톤,20190401,정연,2019,2019,0
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20190125000554,크래프톤,20190125,정,2019,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20190125000518,크래프톤,20190125,정연,2019,2019,1
00760971,크래프톤,259960,Y,사업보고서 (2019.12),20200330004316,크래프톤,20200330,연,2020,2020,0
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20200330003881,크래프톤,20200330,연,2020,2020,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20200330003644,크래프톤,20200330,,2020,2020,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20200330003370,크래프톤,20200330,연,2020,2020,1
00760971,크래프톤,259960,Y,사업보고서 (2020.12),20210331003279,크래프톤,20210331,연,2021,2021,0
00760971,크래프톤,259960,Y,사업보고서 (2021.12),20220314000894,크래프톤,20220314,연,2022,2022,0
00760971,크래프톤,259960,Y,사업보고서 (2022.12),20230320000728,크래프톤,20230320,연,2023,2023,0
00760971,크래프톤,259960,Y,사업보고서 (2023.12),20240318000420,크래프톤,20240318,연,2024,2024,0
00767460,PI첨단소재,178920,Y,사업보고서 (2017.12),20180402000550,PI첨단소재,20180402,,2018,2018,0
00767460,PI첨단소재,178920,Y,사업보고서 (2018.12),20190401003783,PI첨단소재,20190401,,2019,2019,0
00767460,PI첨단소재,178920,Y,사업보고서 (2019.12),20200330003343,PI첨단소재,20200330,,2020,2020,0
00767460,PI첨단소재,178920,Y,사업보고서 (2020.12),20210311000048,PI첨단소재,20210311,,2021,2021,0
00767460,PI첨단소재,178920,Y,사업보고서 (2021.12),20220316000360,PI첨단소재,20220316,,2022,2022,0
