corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year
00398701,엘앤에프,066970,Y,분기보고서 (2021.09),20211112000082,엘앤에프,20211112,,2021,2021
00398701,엘앤에프,066970,Y,반기보고서 (2021.06),20210813001164,엘앤에프,20210813,,2021,2021
00398701,엘앤에프,066970,Y,분기보고서 (2021.03),20210514001479,엘앤에프,20210514,,2021,2021
00398701,엘앤에프,066970,Y,사업보고서 (2020.12),20210309000400,엘앤에프,20210309,연,2021,2021
00398701,엘앤에프,066970,Y,분기보고서 (2022.09),20221109000072,엘앤에프,20221109,,2022,2022
00398701,엘앤에프,066970,Y,반기보고서 (2022.06),20220816000384,엘앤에프,20220816,,2022,2022
00398701,엘앤에프,066970,Y,분기보고서 (2022.03),20220516000052,엘앤에프,20220516,,2022,2022
00398701,엘앤에프,066970,Y,사업보고서 (2021.12),20220315000434,엘앤에프,20220315,연,2022,2022
00398701,엘앤에프,066970,Y,분기보고서 (2023.09),20231113000680,엘앤에프,20231113,,2023,2023
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2022.12),20230828000596,엘앤에프,20230828,연,2023,2023
00398701,엘앤에프,066970,Y,반기보고서 (2023.06),20230811002052,엘앤에프,20230811,,2023,2023
00398701,엘앤에프,066970,Y,[기재정정]분기보고서 (2023.03),20230511000215,엘앤에프,20230511,,2023,2023
00398701,엘앤에프,066970,Y,분기보고서 (2023.03),20230510000306,엘앤에프,20230510,정,2023,2023
00398701,엘앤에프,066970,Y,사업보고서 (2022.12),20230314001151,엘앤에프,20230314,정연,2023,2023
00398701,엘앤에프,066970,Y,분기보고서 (2024.09),20241114001431,엘앤에프,20241114,,2024,2024
00398701,엘앤에프,066970,Y,반기보고서 (2024.06),20240814003843,엘앤에프,20240814,,2024,2024
00398701,엘앤에프,066970,Y,분기보고서 (2024.03),20240516001141,엘앤에프,20240516,,2024,2024
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2023.12),20240328001260,엘앤에프,20240328,연,2024,2024
00398701,엘앤에프,066970,Y,사업보고서 (2023.12),20240312000986,엘앤에프,20240312,정연,2024,2024
00155212,포스코DX,022100,Y,[기재정정]분기보고서 (2018.09),20181114001520,포스코DX,20181114,,2018,2018
00155212,포스코DX,022100,Y,분기보고서 (2018.09),20181114000785,포스코DX,20181114,정,2018,2018
00155212,포스코DX,022100,Y,반기보고서 (2018.06),20180814000594,포스코DX,20180814,,2018,2018
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2017.12),20180622000112,포스코DX,20180622,연,2018,2018
00155212,포스코DX,022100,Y,분기보고서 (2018.03),20180514003288,포스코DX,20180514,,2018,2018
00155212,포스코DX,022100,Y,사업보고서 (2017.12),20180329000873,포스코DX,20180329,정연,2018,2018
00155212,포스코DX,022100,Y,분기보고서 (2019.09),20191114000966,포스코DX,20191114,,2019,2019
00155212,포스코DX,022100,Y,반기보고서 (2019.06),20190814002095,포스코DX,20190814,,2019,2019
00155212,포스코DX,022100,Y,분기보고서 (2019.03),20190515000903,포스코DX,20190515,,2019,2019
00155212,포스코DX,022100,Y,사업보고서 (2018.12),20190329003165,포스코DX,20190329,연,2019,2019
00155212,포스코DX,022100,Y,분기보고서 (2020.09),20201113001162,포스코DX,20201113,,2020,2020
00155212,포스코DX,022100,Y,반기보고서 (2020.06),20200813000330,포스코DX,20200813,,2020,2020
00155212,포스코DX,022100,Y,[기재정정]분기보고서 (2020.03),20200518000187,포스코DX,20200518,,2020,2020
00155212,포스코DX,022100,Y,분기보고서 (2020.03),20200514001141,포스코DX,20200514,정,2020,2020
00155212,포스코DX,022100,Y,사업보고서 (2019.12),20200325000784,포스코DX,20200325,연,2020,2020
00155212,포스코DX,022100,Y,[기재정정]분기보고서 (2021.09),20211207000324,포스코DX,20211207,,2021,2021
00155212,포스코DX,022100,Y,분기보고서 (2021.09),20211115002126,포스코DX,20211115,정,2021,2021
00155212,포스코DX,022100,Y,반기보고서 (2021.06),20210813001034,포스코DX,20210813,,2021,2021
00155212,포스코DX,022100,Y,분기보고서 (2021.03),20210514001026,포스코DX,20210514,,2021,2021
