stock_code,corp_code,corp_name,year,market,sector,CorrectionDummy,CorrectionCount,MaterialCorrectionDummy,MaterialCorrectionCount,AuditorName,Big4Auditor,CleanOpinion,AuditFee,NonAuditFee,NonAuditFeeRatio,BoardSize,OutsideDirectorCount,OutsideDirectorRatio,LargestShareholderOwnership,MinorityShareholderRatio,MinorityShareholderCount,Assets,Liabilities,Equity,Revenue,OperatingIncome,NetIncome,LogAssets,Leverage,ROA,Loss,listing_date,FirstCorrectionDate,LastCorrectionDate,MaterialKeywordHits,AuditOpinion,AuditHours,NonAuditContractCount,OutsideDirectorAppointed,OutsideDirectorDismissed,OutsideDirectorResigned,Size,LogAuditFee,CorrectionCount_Log
034230,00171265,파라다이스,2018,KOSPI,유원지 및 기타 오락관련 서비스업,0,0,0,0,삼일회계법인,1.0,1.0,270000.0,0.0,0.0,,,,45.64,99.98,41479.0,3150767406528.0,1524675674151.0,1626091732377.0,787616484264.0,2407781942.0,,28.778667160215285,0.48390613378571223,,0.0,2024-06-24,,,0,적정,3159.0,12.0,,,,28.778667160215285,12.506177237980511,0.0
034230,00171265,파라다이스,2019,KOSPI,유원지 및 기타 오락관련 서비스업,0,0,0,0,삼일회계법인,1.0,1.0,290000.0,0.0,0.0,,,,46.1,99.99,36769.0,3470353602407.0,1866151021754.0,1604202580653.0,979432908913.0,51868333792.0,,28.875277607406538,0.5377408862484957,,0.0,2024-06-24,,,0,적정,3499.0,14.0,,,,28.875277607406538,12.577636201962656,0.0
034230,00171265,파라다이스,2020,KOSPI,유원지 및 기타 오락관련 서비스업,0,0,0,0,삼일회계법인,1.0,1.0,,0.0,,4.0,2.0,0.5,46.38,99.99,47329.0,3313512458993.0,1879962245119.0,1433550213874.0,453881181278.0,-86150819625.0,,28.829029908537944,0.5673623589423091,,0.0,2024-06-24,,,0,적정,,12.0,1.0,0.0,1.0,28.829029908537944,,0.0
034230,00171265,파라다이스,2021,KOSPI,유원지 및 기타 오락관련 서비스업,1,1,0,0,삼일회계법인,1.0,1.0,,0.0,,5.0,2.0,0.4,46.38,99.99,72474.0,3471796250289.0,1957355763818.0,1514440486471.0,414466172837.0,-55245896594.0,,28.875693227332174,0.5637876253985428,,0.0,2024-06-24,20210419,20210419,0,적정,,10.0,2.0,,1.0,28.875693227332174,,0.6931471805599453
034230,00171265,파라다이스,2022,KOSPI,유원지 및 기타 오락관련 서비스업,0,0,0,0,삼덕회계법인,0.0,1.0,,0.0,,5.0,2.0,0.4,46.27,99.97,53875.0,3511523805592.0,1826356918264.0,1685166887328.0,587637410933.0,10412544286.0,,28.887071191845305,0.5201038122981195,,0.0,2024-06-24,,,0,적정,,7.0,,,,28.887071191845305,,0.0
034230,00171265,파라다이스,2023,KOSPI,유원지 및 기타 오락관련 서비스업,0,0,0,0,삼덕회계법인,0.0,1.0,,0.0,,4.0,2.0,0.5,45.86,99.98,57852.0,3618279367040.0,1832814279870.0,1785465087170.0,994199113643.0,145770072264.0,,28.917019715796833,0.5065430537414162,,0.0,2024-06-24,,,0,적정,,4.0,2.0,,,28.917019715796833,,0.0
034230,00171265,파라다이스,2024,KOSPI,유원지 및 기타 오락관련 서비스업,0,0,0,0,삼덕회계법인,0.0,1.0,,0.0,,5.0,3.0,0.6,45.57,99.99,52699.0,3933768381301.0,1858565750759.0,2075202630542.0,1072108965111.0,136055145217.0,,29.00061895803124,0.4724644591668419,,0.0,2024-06-24,,,0,적정의견,,3.0,1.0,,,29.00061895803124,,0.0
443060,01194689,HD현대마린솔루션,2018,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,,,0,,,,,,,,,0.0
443060,01194689,HD현대마린솔루션,2019,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,,,0,,,,,,,,,0.0
443060,01194689,HD현대마린솔루션,2020,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,,,0,,,,,,,,,0.0
443060,01194689,HD현대마린솔루션,2021,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,,,0,,,,,,,,,0.0
443060,01194689,HD현대마린솔루션,2022,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,,,0,,,,,,,,,0.0
443060,01194689,HD현대마린솔루션,2023,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,,,0,,,,,,,,,0.0
443060,01194689,HD현대마린솔루션,2024,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,0,0,삼일회계법인,1.0,1.0,,0.0,,7.0,4.0,0.5714285714285714,55.34,99.99,53509.0,1152227968481.0,378693406923.0,773534561558.0,1745458578779.0,271729951500.0,,27.772718547931166,0.32866187706087135,,0.0,2024-05-08,,,0,적정의견,,3.0,,,,27.772718547931166,,0.0
475150,01817081,SK이터닉스,2018,KOSPI,건물 건설업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-03-29,,,0,,,,,,,,,0.0
475150,01817081,SK이터닉스,2019,KOSPI,건물 건설업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-03-29,,,0,,,,,,,,,0.0
475150,01817081,SK이터닉스,2020,KOSPI,건물 건설업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-03-29,,,0,,,,,,,,,0.0
475150,01817081,SK이터닉스,2021,KOSPI,건물 건설업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-03-29,,,0,,,,,,,,,0.0
475150,01817081,SK이터닉스,2022,KOSPI,건물 건설업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-03-29,,,0,,,,,,,,,0.0
475150,01817081,SK이터닉스,2023,KOSPI,건물 건설업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-03-29,,,0,,,,,,,,,0.0
475150,01817081,SK이터닉스,2024,KOSPI,건물 건설업,0,0,0,0,삼정회계법인,1.0,1.0,,0.0,,4.0,1.0,0.25,31.08,99.99,47388.0,731694676657.0,489721923418.0,241972753239.0,332151737229.0,37637399717.0,,27.318629155501743,0.6692981909550905,,0.0,2024-03-29,,,0,적정의견,,6.0,1.0,,,27.318629155501743,,0.0
278470,01190568,에이피알,2018,KOSPI,기타 화학제품 제조업,1,2,0,0,"삼일회계법인
한영회계법인",1.0,1.0,9000000030000000.0,0.0,0.0,,,,61.42,99.62,3116.0,,,,,,,,,,,2024-02-27,20180417,20180528,0,"적정
검토",337.0,3.0,,,,,36.73600097558024,1.0986122886681098
278470,01190568,에이피알,2019,KOSPI,기타 화학제품 제조업,1,3,0,0,삼일회계법인,1.0,1.0,9030.0,0.0,0.0,,,,61.42,99.62,3119.0,60525209508.0,51128456543.0,9396752965.0,158999740099.0,7152417688.0,,24.826325801276315,0.8447464611624687,,0.0,2024-02-27,20190528,20191114,0,적정,1762.0,3.0,,,,24.826325801276315,9.108307646411031,1.3862943611198906
278470,01190568,에이피알,2020,KOSPI,기타 화학제품 제조업,1,5,0,0,현대회계법인,0.0,1.0,,0.0,,7.0,2.0,0.2857142857142857,56.6,99.6,3078.0,91828661321.0,40128746173.0,51699915148.0,219939337665.0,14469696877.0,,25.243190300669657,0.4369958746618806,,0.0,2024-02-27,20200814,20200924,0,적정,,6.0,3.0,,,25.243190300669657,,1.791759469228055
278470,01190568,에이피알,2021,KOSPI,기타 화학제품 제조업,0,0,0,0,현대회계법인,0.0,1.0,,0.0,,6.0,3.0,0.5,55.4,99.5,3074.0,126428830150.0,60427749526.0,66001080624.0,259146144182.0,14273152154.0,,25.562945379281114,0.47795862268365696,,0.0,2024-02-27,,,0,적정,,6.0,1.0,,,25.562945379281114,,0.0
278470,01190568,에이피알,2022,KOSPI,기타 화학제품 제조업,0,0,0,0,현대회계법인,0.0,1.0,,0.0,,6.0,3.0,0.5,38.1,99.34,3163.0,184122622814.0,83864628098.0,100257994716.0,397698119336.0,39228479397.0,,25.9388678009276,0.45548247584285034,,0.0,2024-02-27,,,0,적정,,6.0,,,,25.9388678009276,,0.0
278470,01190568,에이피알,2023,KOSPI,기타 화학제품 제조업,0,0,0,0,안진회계법인,1.0,1.0,,0.0,,5.0,3.0,0.6,36.6,99.49,3601.0,287309488243.0,90360619465.0,196948868778.0,523809364559.0,104193724865.0,,26.38382582794497,0.3145062142485701,,0.0,2024-02-27,,,0,적정,,6.0,2.0,,2.0,26.38382582794497,,0.0
