rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,cn,mendng,tot_reqre_time,adt_cntrct_dtls_mendng,adt_cntrct_dtls_time,real_exc_dtls_mendng,real_exc_dtls_time,stlm_dt,query_year,endpoint_label
20240321000964,Y,01190568,에이피알,제9기(전기),현대회계법인,"연결재무제표 감사
재무제표 감사",-,-,112,"1,239",112,"1,293",2023-12-31,2023,audit_contract
20240321000964,Y,01190568,에이피알,제8기(전전기),현대회계법인,"연결재무제표 감사
재무제표 감사",-,-,100,"1,238",100,"1,512",2023-12-31,2023,audit_contract
20250321001576,Y,01190568,에이피알,제11기(당기),현대회계법인,"별도 및 연결 재무제표 감사
반기 별도
 및 연결 재무제표 검토
내부회계관리제도 검토",-,-,180,"1,805",180,"1,844",2024-12-31,2024,audit_contract
20250321001576,Y,01190568,에이피알,제10기(전기),안진회계법인,"별도 및 연결 재무제표 감사
반기/3분기 별도
 및 연결 재무제표 검토
내부회계관리제도 검토",-,-,586,"4,560",586,4800,2024-12-31,2024,audit_contract
20250321001576,Y,01190568,에이피알,제9기(전전기),현대회계법인,"별도 및 연결 재무제표 감사

반기 별도 및 연결 재무제표 검토

내부회계관리제도 검토",-,-,112,"1,239",112,"1,293",2024-12-31,2024,audit_contract
20190329003209,Y,00398701,엘앤에프,제19기(당기),경신회계법인,"반기검토, 중간감사, 재고실사, 기말감사",80백만원,"1,070시간",-,-,-,-,2018-12-31,2018,audit_contract
20190329003209,Y,00398701,엘앤에프,제18기(전기),삼일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",204백만원,"1,700시간",-,-,-,-,2018-12-31,2018,audit_contract
20190329003209,Y,00398701,엘앤에프,제17기(전전기),안경회계법인,"반기검토, 중간감사, 재고실사, 기말감사",74백만원,866시간,-,-,-,-,2018-12-31,2018,audit_contract
20200326000817,Y,00398701,엘앤에프,제20기(당기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",100백만원,"1,380시간",-,-,-,-,2019-12-31,2019,audit_contract
20200326000817,Y,00398701,엘앤에프,제19기(전기),경신회계법인,"반기검토, 중간감사, 재고실사, 기말감사",80백만원,"1,070시간",-,-,-,-,2019-12-31,2019,audit_contract
20200326000817,Y,00398701,엘앤에프,제18기(전전기),삼일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",204백만원,"1,700시간",-,-,-,-,2019-12-31,2019,audit_contract
20210309000400,Y,00398701,엘앤에프,제21기(당기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,120백만원,"1,500시간",120백만원,"1,571시간",2020-12-31,2020,audit_contract
